url,address,type,rooms,size_m2,price,listings,text,deposit,rent,electricity,heat,water,tv_internet,b-ordning,other
https://aarhusbolig.dk/afdelinger/?bolignr=35&selskab=45&afdeling=28&antalrum=3,"Afd. 28, Storbylandsby2",Rækkehus,3,90,7721,6.0,"Husdyr: Det er tilladt at holde 1 husdyr, en hund eller 1 katUdgifter ud over husleje: Vand og varme opkræves sammen med huslejen af boligselskab.El afregnes direkte med forsyningsselskab.Tilmelding og betaling af kabel tv og internet sker direkte til forsyningsselskab.Særlige vilkår: Alle boliger har adgang til skur med egen indgang.I badeværelse er der klargjort for opsætning af vaskemaskine og kondenstørretumbler.I køkken er der monteret emhætte, kogeplade, indbygningsovn og køle-/fryseskab. der er endvidere forberedt til opvaskemaskine.Yderligere info: Afdelingen består af 40 stk. rækkehuse, hvoraf de 20 formidles af Aarhus Kommune til udsatte borgere. Afdelingen er beliggende centralt i Aarhus Nord, med gode bus- og nærbaneforbindelser.Boligerne overtages istandsat, vedligeholdelsesreglement Model A.",34171.0,7021.0,,,700.0,,,
https://aarhusbolig.dk/afdelinger/?bolignr=7&selskab=45&afdeling=71&antalrum=3,Afd. 71 Mågevej,Rækkehus,3,70,5705,5.0,"Husdyr: Der må holdes 1 hund og 1 katUdgifter ud over husleje: El og varme afregnes direkte til forsyningsselskaber.Særlige vilkår: Der er mulighed for leje af carportYderligere info: Afdelingen består af rækkehuse og 1 punkthus, og er beliggende i centrum, med mange indkøbsmuligheder.Gode transportmuligheder  med bus og tog.Fjernvarme- mulighed for fibernet.",14000.0,4755.0,,,950.0,,,
https://aarhusbolig.dk/afdelinger/?bolignr=6&selskab=45&afdeling=71&antalrum=3,Afd. 71 Mågevej,Rækkehus,3,87,6702,5.0,"Husdyr: Der må holdes 1 hund og 1 katUdgifter ud over husleje: El og varme afregnes direkte til forsyningsselskaber.Særlige vilkår: Der er mulighed for leje af carportYderligere info: Afdelingen består af rækkehuse og 1 punkthus, og er beliggende i centrum, med mange indkøbsmuligheder.Gode transportmuligheder  med bus og tog.Fjernvarme- mulighed for fibernet.",17400.0,5702.0,,,1000.0,,,
https://aarhusbolig.dk/afdelinger/?bolignr=4&selskab=45&afdeling=71&antalrum=4,Afd. 71 Mågevej,Rækkehus,4,80,6613,2.0,"Husdyr: Der må holdes 1 hund og 1 katUdgifter ud over husleje: El og varme afregnes direkte til forsyningsselskaber.Særlige vilkår: Der er mulighed for leje af carportYderligere info: Afdelingen består af rækkehuse og 1 punkthus, og er beliggende i centrum, med mange indkøbsmuligheder.Gode transportmuligheder  med bus og tog.Fjernvarme- mulighed for fibernet.",16000.0,6038.0,,,575.0,,,
https://aarhusbolig.dk/afdelinger/?bolignr=1&selskab=45&afdeling=71&antalrum=5,Afd. 71 Mågevej,Rækkehus,5,90,7134,2.0,"Husdyr: Der må holdes 1 hund og 1 katUdgifter ud over husleje: El og varme afregnes direkte til forsyningsselskaber.Særlige vilkår: Der er mulighed for leje af carportYderligere info: Afdelingen består af rækkehuse og 1 punkthus, og er beliggende i centrum, med mange indkøbsmuligheder.Gode transportmuligheder  med bus og tog.Fjernvarme- mulighed for fibernet.",18000.0,6559.0,,,575.0,,,
https://aarhusbolig.dk/afdelinger/?bolignr=1&selskab=45&afdeling=73&antalrum=3,Afd. 73 Mågevej,Rækkehus,3,75,7068,5.0,"Husdyr: Der må holdes 1 hund og 1 katUdgifter ud over husleje: El betales direkte til forsyningsselskab.Særlige vilkår: Køleskab/fryser samt komfur og emhætteskal indflytter selv anskaffe.Yderligere info: Afdelingen består af 6 rækkehuse, og er beliggende i centrum, med mange indkøbsmuligheder.Gode transportmuligheder  med bus og tog.Alle boliger har haver.Fjernvarme - mulighed for fibernet",15000.0,5847.0,,,575.0,,,646.0
https://aarhusbolig.dk/afdelinger/?bolignr=1&selskab=45&afdeling=74&antalrum=4,Afd. 74 Ny Kirkevej 25-29/Isagervej 17/Siimvej,Rækkehus,4,82,6703,6.0,"Husdyr: Der må holdes 1 hund og 1 katUdgifter ud over husleje: El og varme afregnes direkte til forsyningsselskaber.Yderligere info: Afdelingen består af 6 rækkehuse, oger beliggende i centrum, med mange indkøbsmuligheder.Gode transportmuligheder  med bus og tog.Alle boliger har haver.Mulighed for fibernet.",16400.0,6549.0,,,,,,154.0
https://aarhusbolig.dk/afdelinger/?bolignr=4&selskab=45&afdeling=75&antalrum=2,Afd. 75 Ny Kirkevej,Rækkehus,2,71,7781,1.0,"Husdyr: Husdyrhold ikke tilladtUdgifter ud over husleje: El betales direkte til forsyningsselskab.Særlige vilkår: Der er mulighed for leje af carportYderligere info: Afdelingen består 8 boliger i 2 punkthuse, oger beliggende i centrum, med mange indkøbsmuligheder.Gode transportmuligheder  med bus og tog.Mulighed for fibernet - legeplads.",14200.0,6223.0,,,1050.0,,,508.0
https://aarhusbolig.dk/afdelinger/?bolignr=3&selskab=45&afdeling=75&antalrum=3,Afd. 75 Ny Kirkevej,Rækkehus,3,73,7397,5.0,"Husdyr: Husdyrhold ikke tilladtUdgifter ud over husleje: El betales direkte til forsyningsselskab.Særlige vilkår: Der er mulighed for leje af carportYderligere info: Afdelingen består 8 boliger i 2 punkthuse, oger beliggende i centrum, med mange indkøbsmuligheder.Gode transportmuligheder  med bus og tog.Mulighed for fibernet - legeplads.",14600.0,6347.0,,,1050.0,,,
https://aarhusbolig.dk/afdelinger/?bolignr=2&selskab=45&afdeling=75&antalrum=3,Afd. 75 Ny Kirkevej,Rækkehus,3,80,8127,5.0,"Husdyr: Husdyrhold ikke tilladtUdgifter ud over husleje: El betales direkte til forsyningsselskab.Særlige vilkår: Der er mulighed for leje af carportYderligere info: Afdelingen består 8 boliger i 2 punkthuse, oger beliggende i centrum, med mange indkøbsmuligheder.Gode transportmuligheder  med bus og tog.Mulighed for fibernet - legeplads.",16000.0,6952.0,,,1175.0,,,
